25.015495 98.558125 75.292838 
80.000000 26.671827 87.336091 78.167169 
80.000000 26.908504 91.744467 88.399157 
96.000000 27.041617 110.301475 91.421012 
96.000000 27.286905 113.671144 76.384280 
96.000000 27.116344 109.595103 78.544871 
96.000000 26.880418 94.832291 97.527822 
1.000000 26.689442 90.773771 69.463904 
80.000000 27.115214 101.883493 106.323196 
1.000000 27.006854 113.333037 71.756638 
80.000000 27.449786 104.596462 93.522098 
1.000000 27.179701 119.572944 61.963132 
80.000000 27.009457 88.737528 71.727474 
80.000000 26.966686 97.901333 97.758741 
1.000000 26.995738 120.477917 64.084837 
80.000000 26.673059 108.357463 74.056122 
80.000000 27.113445 107.863002 105.620273 
1.000000 27.378182 114.990541 88.074244 
96.000000 27.024662 118.619065 79.495685 
96.000000 27.116311 88.514731 84.352010 
80.000000 27.167905 101.237726 104.066978 
102.000000 26.904350 118.006197 61.558172 
80.000000 27.268678 85.772526 77.130201 
80.000000 27.249574 96.431302 65.997071 
80.000000 27.133319 116.916631 60.008889 
80.000000 26.759740 117.592166 83.846868 
96.000000 27.041242 117.137310 77.988962 
96.000000 26.574271 102.924336 78.614765 
80.000000 27.110442 90.877077 89.738262 
96.000000 27.298707 116.880678 71.229896 
80.000000 27.014794 104.878815 107.678044 
1.000000 26.899535 101.078005 60.858042 
80.000000 27.055079 92.116117 96.196626 
96.000000 27.201987 101.786343 58.948744 
80.000000 26.935325 107.939253 79.517435 
96.000000 27.093541 107.270539 107.466486 
102.000000 27.086677 99.945321 62.253878 
80.000000 27.033832 92.803130 84.842998 
1.000000 27.108774 102.809772 102.831980 
102.000000 27.675609 101.828552 95.633041 
1.000000 27.070225 91.038574 94.336642 
96.000000 27.239571 121.528635 66.109655 
80.000000 27.220034 110.213495 73.551474 
80.000000 27.039879 120.492447 67.692382 
80.000000 26.685167 103.141895 80.158535 
1.000000 27.105676 90.720947 91.986376 
96.000000 27.474828 111.567621 76.227179 
96.000000 26.983185 106.662369 104.290528 
102.000000 27.216536 102.516592 108.544595 
1.000000 26.988575 90.679046 83.573138 
80.000000 27.158846 95.318378 99.125072 
1.000000 26.949323 106.091615 76.403433 
80.000000 27.142887 117.885721 84.999531 
96.000000 27.049870 105.065203 77.775199 
1.000000 26.950941 98.608926 66.204504 
80.000000 27.105072 93.420844 97.994115 
1.000000 27.108795 87.170700 75.507321 
80.000000 27.015245 105.150528 79.428082 
96.000000 27.228933 90.498763 67.518364 
80.000000 27.127717 85.108840 81.914454 
80.000000 27.334856 89.519446 93.725788 
96.000000 27.506186 115.519423 75.582552 
96.000000 27.447962 109.248243 55.910824 
80.000000 27.441215 113.044840 56.884390 
80.000000 27.392063 120.045465 69.389344 
80.000000 27.051256 104.160399 102.649746 
102.000000 27.647683 98.154777 110.629548 
102.000000 27.313466 118.643973 101.117956 
65.000000 27.161355 119.481232 81.586848 
96.000000 27.085915 111.376299 56.946667 
80.000000 27.714618 120.605237 77.610022 
96.000000 27.513317 101.654477 111.691389 
1.000000 27.791603 107.454444 100.693898 
1.000000 28.100077 115.400059 103.177501 
65.000000 26.943890 94.866366 81.669150 
80.000000 27.249266 103.834717 57.696553 
80.000000 27.400109 106.863464 111.642442 
102.000000 27.366751 84.633296 79.255418 
80.000000 27.379549 99.244896 102.980528 
102.000000 27.302911 100.904748 102.204270 
102.000000 27.282485 119.780555 79.335605 
96.000000 27.285834 119.940576 96.755851 
65.000000 27.472529 94.317549 65.519252 
80.000000 27.312116 97.743775 100.021975 
1.000000 27.477642 98.528663 63.621958 
80.000000 27.638153 117.715053 75.564822 
96.000000 27.281858 87.541813 73.424466 
80.000000 27.812619 92.321486 105.116828 
1.000000 27.390370 101.150606 109.884308 
1.000000 27.433271 105.787233 56.642070 
80.000000 27.749874 110.703990 107.478769 
102.000000 27.538186 121.844520 100.059785 
65.000000 27.560760 122.474690 63.984419 
80.000000 27.564562 109.641239 106.225522 
102.000000 27.474979 118.281912 103.873716 
65.000000 27.271312 99.728120 98.863575 
1.000000 27.359589 109.025349 108.611848 
102.000000 27.473983 109.818051 75.265473 
1.000000 27.618347 110.788378 108.745400 
102.000000 27.489818 115.522198 58.128874 
80.000000 27.140298 89.114761 69.467055 
80.000000 27.413010 92.884162 99.599693 
1.000000 27.461279 96.804691 104.016704 
102.000000 27.728045 96.587690 109.887027 
1.000000 27.426808 97.622678 105.984070 
102.000000 27.726965 101.099694 113.314343 
1.000000 27.294455 105.084034 110.393243 
1.000000 27.855485 116.538191 73.949408 
96.000000 27.349793 120.245499 95.331459 
65.000000 27.747448 88.589922 86.557060 
1.000000 27.669311 92.901700 103.564286 
1.000000 27.318621 99.283258 105.287497 
102.000000 27.396312 103.170993 110.821795 
1.000000 27.597764 104.976453 112.960873 
1.000000 27.361181 107.667837 102.563822 
102.000000 27.316141 108.244609 110.500867 
1.000000 27.986904 109.491308 101.709159 
1.000000 27.174614 118.831440 83.830624 
96.000000 27.372646 120.718819 98.227939 
