24.965734 98.576403 75.223681 
96.000000 26.035700 89.531012 78.536905 
80.000000 26.107758 94.952858 89.677337 
96.000000 26.179913 102.623702 92.591495 
1.000000 26.796899 109.546832 73.489681 
80.000000 26.157497 107.709334 59.660959 
80.000000 26.310010 115.068925 70.269883 
80.000000 26.608950 108.252967 58.100549 
80.000000 26.457819 100.587300 94.111681 
96.000000 26.489551 95.104541 94.857211 
96.000000 26.698129 111.817525 58.417970 
80.000000 26.520983 115.929564 84.611359 
96.000000 26.669941 117.195042 80.772490 
96.000000 26.550845 94.776434 68.164207 
80.000000 26.845317 95.140079 84.246804 
96.000000 26.805868 106.040223 106.181971 
1.000000 26.546561 116.055768 79.476053 
96.000000 26.643992 92.449110 68.499795 
80.000000 26.055640 98.846339 82.124554 
1.000000 26.328493 99.860175 68.688682 
80.000000 26.215732 108.826066 81.089782 
96.000000 26.276207 91.304338 71.711973 
80.000000 26.751174 92.059845 90.821322 
1.000000 26.259840 109.742000 59.233336 
80.000000 26.270053 114.923028 83.808267 
96.000000 26.455085 97.425481 68.367321 
80.000000 26.562384 96.605151 95.965130 
1.000000 26.692830 105.903004 105.108353 
1.000000 26.527874 89.167508 81.792826 
80.000000 26.583950 111.537717 89.951425 
96.000000 26.609584 92.813465 91.701582 
96.000000 26.571718 101.678380 62.264211 
80.000000 26.530497 113.293381 59.638673 
80.000000 26.239737 114.071682 61.153734 
80.000000 26.391039 89.149787 76.207612 
80.000000 26.514473 93.222990 89.857876 
96.000000 26.337836 118.512578 65.264556 
80.000000 26.654415 93.341834 93.831801 
96.000000 26.529955 103.931804 59.749303 
80.000000 26.905763 112.624899 77.754760 
96.000000 26.194344 96.034860 93.156730 
96.000000 27.023773 102.440160 104.576827 
1.000000 26.849554 104.350529 104.976873 
1.000000 26.329906 112.723125 79.897499 
96.000000 26.357892 107.412481 81.135902 
96.000000 26.816591 94.005063 85.835989 
96.000000 26.910867 96.366240 98.124902 
1.000000 26.824316 99.334132 96.030767 
1.000000 26.117162 101.928315 68.275414 
80.000000 26.152905 103.387148 61.895570 
80.000000 26.347750 113.575089 86.950304 
96.000000 26.324667 114.898175 80.805070 
96.000000 26.520789 116.313857 82.865874 
96.000000 26.265500 88.591096 80.079118 
80.000000 26.600611 89.687517 73.189516 
80.000000 26.766818 94.217581 96.268635 
1.000000 26.557220 87.720624 78.492769 
80.000000 26.684632 114.811269 70.883158 
80.000000 26.335821 94.502420 87.854875 
96.000000 26.101455 98.680216 93.472399 
96.000000 26.539627 114.507351 78.879846 
96.000000 26.844379 92.595951 87.514635 
96.000000 26.693232 100.557810 64.998722 
80.000000 26.695322 110.361216 79.304319 
96.000000 26.446750 118.548381 67.634847 
80.000000 26.283868 94.453518 91.537409 
96.000000 26.446269 96.788529 83.249520 
96.000000 26.822480 88.061281 83.112508 
80.000000 26.585480 101.271832 63.555952 
80.000000 26.493679 100.725078 66.993600 
80.000000 27.224392 101.254126 95.285035 
1.000000 26.696400 118.383410 62.920334 
80.000000 26.748703 86.861554 81.272375 
80.000000 26.885827 102.576733 93.656510 
1.000000 26.265938 114.504375 85.182855 
96.000000 26.601591 116.441148 61.693410 
80.000000 26.660324 102.199067 60.631408 
80.000000 26.895091 109.915088 57.360479 
80.000000 26.761609 115.962352 78.151589 
96.000000 26.934663 120.220165 63.959829 
80.000000 27.086840 113.244754 89.162094 
96.000000 26.193579 101.946958 80.001412 
1.000000 27.106303 118.899581 69.552314 
1.000000 27.178617 105.817287 79.579421 
1.000000 27.080470 106.413087 108.522936 
102.000000 26.794494 92.325171 81.552941 
80.000000 26.860035 105.908128 92.719738 
1.000000 27.214366 115.864388 71.271237 
80.000000 26.983947 114.781908 77.156782 
96.000000 27.066732 93.310159 66.651319 
80.000000 26.937510 107.395082 105.155814 
102.000000 26.924325 109.820559 91.198354 
96.000000 26.942129 120.752514 66.314044 
80.000000 27.041010 113.713915 58.359791 
80.000000 26.877773 95.128115 97.757468 
1.000000 26.806606 115.757734 86.163941 
96.000000 27.076405 94.766182 66.387865 
80.000000 27.176695 86.632905 83.891175 
80.000000 27.008298 89.639296 83.822534 
80.000000 27.149874 102.031998 106.542181 
1.000000 27.023139 96.394209 66.388746 
80.000000 27.150868 115.603428 59.331383 
80.000000 26.921148 90.017570 69.805204 
80.000000 27.589368 115.271528 88.075761 
96.000000 26.704408 113.106465 71.528656 
1.000000 27.255088 88.271393 84.893092 
1.000000 27.009180 91.337540 89.367282 
96.000000 27.311161 113.733022 76.079382 
96.000000 27.219532 109.203718 78.315939 
96.000000 27.412000 107.734131 92.704139 
1.000000 26.907869 117.490190 78.734740 
96.000000 26.901717 106.023500 57.809100 
80.000000 27.278572 110.437805 77.265805 
96.000000 26.790089 106.003329 104.131925 
1.000000 26.442172 103.031845 78.454064 
80.000000 27.087384 106.474197 76.388844 
80.000000 27.220378 107.968772 56.560735 
80.000000 27.125417 91.263228 67.264711 
80.000000 26.895681 97.759493 97.605937 
96.000000 27.187011 104.517449 93.378004 
1.000000 26.996434 95.270079 82.579719 
96.000000 27.039113 105.105721 107.898950 
1.000000 27.221875 86.727455 76.017604 
80.000000 27.053890 120.280243 68.259458 
80.000000 26.730781 104.091740 79.995808 
1.000000 27.234161 101.554790 58.866659 
80.000000 26.983528 117.301614 84.825162 
